地区,城镇居民家庭人均现金消费支出(元),城镇居民家庭人均食品消费支出(元),城镇居民家庭人均衣着消费支出(元),城镇居民家庭人均居住消费支出(元),城镇居民家庭人均家庭设备及用品消费支出(元),城镇居民家庭人均医疗保健消费支出(元),城镇居民家庭人均交通和通信消费支出(元),城镇居民家庭人均文教娱乐服务消费支出(元),城镇居民家庭人均其它消费支出(元)
北京市,19934.5,6392.9,2087.9,1577.4,1377.8,1327.2,3420.9,2901.9,848.5
天津市,16561.8,5940.4,1567.6,1615.6,1119.9,1275.6,2454.4,1899.5,688.7
河北省,10318.3,3335.2,1225.9,1344.5,693.6,923.8,1398.4,1001,395.9
山西省,9792.7,3052.6,1205.9,1245,612.6,774.9,1340.9,1229.7,331.1
内蒙古自治区,13994.6,4211.5,2203.6,1384.5,948.9,1126,1768.7,1641.2,710.4
辽宁省,13280,4658,1586.8,1314.8,785.7,1079.8,1773.3,1495.9,585.8
吉林省,11679,3767.9,1570.7,1344.4,710.3,1171.3,1363.9,1244.6,506.1
黑龙江省,10683.9,3784.7,1608.4,1128.1,618.8,948.4,1191.3,1001.5,402.7
上海市,23200.4,7777,1794.1,2166.2,1800.2,1005.5,4076.5,3363.3,1217.7
江苏省,14357.5,5243.1,1465.5,1234.1,1026.3,805.7,1935.1,2133.3,514.4
浙江省,17858.2,6118.5,1802.3,1418,916.2,1033.7,3437.2,2586.1,546.4
安徽省,11512.6,4369.6,1225.6,1229.6,678.8,737.1,1356.6,1479.8,435.6
福建省,14750,5790.7,1281.3,1606.3,972.2,617.4,2196.9,1786,499.3
江西省,10618.7,4195.4,1138.8,1109.8,854.6,524.2,1270.3,1179.9,345.7
山东省,13118.2,4205.9,1745.2,1408.6,915,885.8,2140.4,1401.8,415.6
河南省,10838.5,3575.8,1444.6,1080.1,866.7,941.3,1374.8,1137.2,418
湖北省,11451,4429.3,1415.7,1187.5,867.3,709.6,1205.5,1263.2,372.9
湖南省,11825.3,4322.1,1277.5,1182.3,903.8,776.9,1541.4,1418.9,402.5
广东省,18489.5,6746.6,1230.7,1925.2,1208,929.5,3419.7,2376,653.8
广西壮族自治区,11490.1,4372.8,926.4,1166.9,853.6,625.5,1973,1243.7,328.3
海南省,10926.7,4896,636.1,1103.8,616.3,579.9,1805.1,1004.6,284.9
重庆市,13335,5012.6,1697.6,1276,1072.4,1021.5,1384.3,1408,462.8
四川省,12105.1,4779.6,1259.5,1126.7,876.3,661,1674.1,1224.7,503.1
贵州省,10058.3,4013.7,1102.4,890.8,673.3,546.8,1270.5,1254.6,306.2
云南省,11074.1,4593.5,1158.8,835.5,509.4,637.9,2039.7,1014.4,285
西藏自治区,9685.5,4847.6,1158.6,726.6,376.4,385.6,1230.9,478,481.8
陕西省,11821.9,4381.4,1428.2,1126.9,723.7,935.4,1194.8,1595.8,435.7
甘肃省,9895.4,3702.2,1255.7,910.3,597.7,828.6,1076.6,1136.7,387.5
青海省,9613.8,3784.8,1185.6,923.5,644,718.8,1116.6,908.1,332.5
宁夏回族自治区,11334.4,3768.1,1417.5,1181.7,716.2,890.1,1574.6,1286.2,500.1
新疆维吾尔自治区,10197.1,3694.8,1513.4,898.4,669.9,708.2,1255.9,1012.4,444.2
