GDP,Consumption,M0,EM,Investment
3678.7,1558.6,212,355,899
4100.5,1800,267.7,454.6,977
4587.6,2140,346.2,570,910.9
4935.8,2350,396.3,735.3,961
5373.4,2570,439.1,771.3,1230.4
6020.9,2849.4,529.8,860.1,1430.1
7278.5,3376.4,792.1,1201,1832.9
9098.9,4305,987.8,2066.7,2543.2
10376.2,4950,1218.4,2581,3120.6
12174.6,5820,1454.5,3084.2,3791.7
15180.4,7440,2134,3821.8,4753.8
17179.7,8101.4,2344,4155.9,4410.4
18872.9,8300.1,2644.4,5560.1,4517
22005.6,9415.6,3177.8,7225.8,5594.5
27194.5,10993.7,4336,9119.6,8080.1
35673.2,14270.4,5864.7,11271,13072.3
48637.5,18622.9,7288.6,20381.9,17042.1
61339.9,23613.8,7885.3,23499.9,20019.3
71813.6,28360.2,8802,24133.8,22913.5
79715,31252.9,10177.6,26967.2,24941.1
85195.5,33378.1,11204.2,26849.7,28406.2
90564.4,35647.9,13455.5,29896.3,29854.7
100280.1,39105.7,14652.7,39273.2,32917.73
110863.1,43055.4,15688.8,42183.6,37213.49
121717.4,48135.9,17278,51378.2,43499.91
137422,52516.3,19746,70483.5,55566.61
161840.2,59501,21468.3,95539.1,70477.4
187318.9,68352.6,24031.7,116921.8,88773.62
219438.5,79145.2,27072.62,140971.5,109998.2
270232.3,93571.6,30375.2,166740.2,137323.94
319515.5,114830.1,34218.96,179921.4,172828.4
349081.4,133048.2,38247,150648.1,224598.77
413030.3,158008,44628.17,201722.1,251683.77
489300.6,187205.8,50748.46,236402,311485.13
540367.4,214432.7,54659.77,244157.7,374694.74
595244.4,242842.8,58574.44,258168.9,446294.09
643974,271896.1,60259.53,264241.78,512020.65
689052.1,300930.8,63216.58,245502.93,561999.83
