date,close,highest,lowest ,open,amount,rate,volume,turnover 
2000/1/4,1406.371,1407.518,1361.214,1368.693,39.791,2.9117,9032824,5801141880
2000/1/5,1409.682,1433.78,1398.323,1407.829,3.311,0.2354,10579392,8652695630
2000/1/6,1463.942,1463.955,1400.253,1406.036,54.26,3.8491,13480517,10238071250
2000/1/7,1516.604,1522.825,1477.154,1477.154,52.662,3.5973,34869396,22073510000
2000/1/10,1545.112,1546.723,1506.404,1531.712,28.508,1.8797,31253046,20928767500
2000/1/11,1479.781,1547.708,1468.757,1547.678,-65.331,-4.2282,21924568,17011217500
2000/1/12,1438.02,1489.28,1434.996,1473.761,-41.761,-2.8221,15221934,13359888750
2000/1/13,1424.442,1444.066,1418.814,1437.453,-13.578,-0.9442,8611943,7797346880
2000/1/14,1408.848,1433.474,1401.706,1426.224,-15.594,-1.0947,7447013,6558865000
2000/1/17,1433.33,1433.383,1402.663,1408.988,24.482,1.7377,7647977,6608525630
2000/1/18,1426.623,1443.592,1421.642,1436.888,-6.707,-0.4679,7767131,7318323130
2000/1/19,1440.724,1443.672,1425.143,1425.874,14.101,0.9884,8004793,6845387500
2000/1/20,1466.863,1466.901,1443.094,1443.094,26.139,1.8143,10070803,9274223130
2000/1/21,1465.085,1476.456,1458.925,1471.905,-1.778,-0.1212,15050772,14361620000
2000/1/24,1477.344,1477.412,1449.472,1465.858,12.259,0.8367,16241508,15353916250
2000/1/25,1476.506,1490.464,1467.438,1483.033,-0.838,-0.0567,13635983,13492316250
2000/1/26,1481.117,1482.464,1469.98,1477.295,4.611,0.3123,10384438,9989914380
2000/1/27,1506.767,1506.922,1485.234,1490.447,25.65,1.7318,18979974,16943315000
2000/1/28,1534.997,1536.346,1510.745,1514.558,28.23,1.8735,29388162,22547307500
2000/2/14,1673.943,1674.132,1587.818,1591.445,138.946,9.0519,43569132,26578355000
2000/2/15,1670.67,1746.443,1663.005,1709.224,-3.273,-0.1955,52543428,38931622500
2000/2/16,1693.109,1695.881,1649.699,1674.936,22.439,1.3431,37435548,36009220000
2000/2/17,1640.649,1770.88,1615.629,1734.268,-52.46,-3.0984,51439068,49913115000
2000/2/18,1668.091,1668.164,1583.582,1623.961,27.442,1.6726,26785354,26991470000
2000/2/21,1677.136,1697.01,1652.476,1681.361,9.045,0.5422,31011206,33845250000
2000/2/22,1632.294,1687.511,1627.467,1681.299,-44.842,-2.6737,24251776,27083577500
2000/2/23,1594.93,1630.546,1586.634,1618.008,-37.364,-2.289,19185730,19418631250
2000/2/24,1634.309,1634.323,1593.929,1593.948,39.379,2.469,13932876,15272157500
2000/2/25,1631.576,1650.365,1618.177,1639.919,-2.733,-0.1672,17058054,19152678750
2000/2/28,1704.855,1704.884,1639.696,1639.799,73.279,4.4913,26127946,25836020000
2000/2/29,1714.578,1733.141,1678.35,1728.136,9.723,0.5703,28678748,33285875000
2000/3/1,1697.744,1721.14,1692.509,1720.597,-16.834,-0.9818,22487674,24727392500
2000/3/2,1713.014,1721.598,1682.535,1697.562,15.27,0.8994,19593496,21288410000
2000/3/3,1738.021,1750.645,1721.705,1728.355,25.007,1.4598,24815498,26829592500
2000/3/6,1681.085,1762.829,1678.744,1756.313,-56.936,-3.2759,26504710,27772900000
2000/3/7,1694.798,1694.887,1654.444,1661.948,13.713,0.8157,17685018,17261327500
2000/3/8,1726.033,1726.043,1690.117,1699.462,31.235,1.843,19745944,18284421250
2000/3/9,1732.346,1741.224,1714.921,1734.767,6.313,0.3658,17877382,19294057500
2000/3/10,1705.049,1743.139,1701.793,1731.94,-27.297,-1.5757,15872365,17001648750
2000/3/13,1728.875,1729.007,1706.349,1706.769,23.826,1.3974,19826626,14365002500
2000/3/14,1685.347,1700.373,1636.893,1690.653,-43.528,-2.5177,22870444,19944427500
2000/3/15,1681.471,1695.162,1676.544,1680.296,-3.876,-0.23,16782164,16438418750
2000/3/16,1607.527,1671.178,1596.072,1671.097,-73.944,-4.3976,19791590,14847116250
2000/3/17,1658.601,1661.976,1602.335,1602.363,51.074,3.1772,15336724,14612991250
2000/3/20,1699.248,1699.281,1641.765,1646.31,40.647,2.4507,18173800,17930965000
2000/3/21,1710.324,1713.205,1692.684,1704.085,11.076,0.6518,16351103,17994161250
2000/3/22,1720.446,1726.59,1711.158,1713.241,10.122,0.5918,14658422,17276591250
2000/3/23,1747.241,1747.283,1711.405,1724.188,26.795,1.5574,16743141,17916818750
2000/3/24,1730.499,1770.263,1729.483,1761.444,-16.742,-0.9582,22036720,23298670000
2000/3/27,1775.914,1776.021,1736.696,1736.696,45.415,2.6244,19927312,20743190000
2000/3/28,1791.441,1799.952,1774.482,1788.827,15.527,0.8743,24484368,23132820000
2000/3/29,1788.807,1803.827,1763.62,1797.881,-2.634,-0.147,23026682,20256068750
2000/3/30,1810.984,1811.063,1790.849,1793.676,22.177,1.2398,29305432,20108008750
2000/3/31,1800.225,1810.897,1780.411,1810.553,-10.759,-0.5941,23340364,19751003750
2000/4/3,1801.003,1816.86,1798.254,1799.575,0.778,0.0432,18861114,18757948750
2000/4/4,1760.692,1795.161,1755.98,1795.161,-40.311,-2.2383,17128272,15716263750
2000/4/5,1771.199,1776.715,1746.302,1756.3,10.507,0.5968,13603240,12816257500
2000/4/6,1809.141,1809.169,1775.676,1775.784,37.942,2.1422,15007034,14992096250
2000/4/7,1819.896,1822.615,1807.543,1816.786,10.755,0.5945,16081263,16103048750
2000/4/10,1826.061,1831.853,1815.991,1826.611,6.165,0.3388,16809154,16612291250
2000/4/11,1821.174,1828.057,1812.008,1826.403,-4.887,-0.2676,14245477,14739642500
2000/4/12,1807.328,1823.832,1785.327,1822.398,-13.846,-0.7603,13643034,13172513750
2000/4/13,1831.548,1832.083,1807.712,1807.837,24.22,1.3401,16549059,15357807500
2000/4/14,1833.665,1840.189,1820.672,1835.861,2.117,0.1156,17905474,17220578750
2000/4/17,1795.058,1829.929,1778.878,1829.615,-38.607,-2.1055,19821740,18754088750
2000/4/18,1813.495,1813.571,1779.294,1794.339,18.437,1.0271,13204735,12987600000
2000/4/19,1828.71,1831.57,1817.211,1819.081,15.215,0.839,12766161,13630410000
2000/4/20,1847.071,1847.51,1831.485,1831.657,18.361,1.004,16533108,17018731250
2000/4/21,1841.064,1858.265,1834.847,1851.307,-6.007,-0.3252,16244630,17533900000
2000/4/24,1837.398,1848.973,1827.167,1844.695,-3.666,-0.1991,16427791,16139935000
2000/4/25,1833.469,1841.86,1815.632,1838.05,-3.929,-0.2138,10771405,11333897500
2000/4/26,1832.779,1842.887,1826.392,1835.666,-0.69,-0.0376,10163838,10827206250
2000/4/27,1806.83,1840.572,1803.577,1835.601,-25.949,-1.4158,12332934,12600127500
2000/4/28,1836.321,1836.329,1797.713,1805.503,29.491,1.6322,10971313,11703455000
2000/5/8,1836.637,1852.903,1828.097,1848.173,0.316,0.0172,8958631,9643899380
2000/5/9,1806.638,1839.288,1799.822,1838.996,-29.999,-1.6334,9117621,9697479380
2000/5/10,1752.689,1801.64,1750.012,1801.426,-53.949,-2.9862,9431059,8811663130
2000/5/11,1724.048,1762.125,1718.892,1750.859,-28.641,-1.6341,8437170,8387408750
2000/5/12,1720.608,1740.954,1715.058,1725.868,-3.44,-0.1995,7404179,7345571880
2000/5/15,1704.587,1726.724,1695.531,1722.635,-16.021,-0.9311,7094654,6869030630
2000/5/16,1724.538,1725.903,1706.728,1706.728,19.951,1.1704,5335453,5462313130
2000/5/17,1725.398,1736.274,1722.712,1727.426,0.86,0.0499,5257679,5511975630
2000/5/18,1758.537,1758.54,1719.844,1725.604,33.139,1.9207,8354142,8149676880
2000/5/19,1777.828,1777.983,1754.884,1761.791,19.291,1.097,9553988,10386751250
2000/5/22,1824.736,1830.927,1783.304,1785.894,46.908,2.6385,14655311,15620500000
2000/5/23,1832.075,1836.992,1811.577,1834.436,7.339,0.4022,12469572,12811057500
2000/5/24,1855.493,1861.484,1831.842,1835.563,23.418,1.2782,15860859,16660807500
2000/5/25,1880.704,1880.719,1860.779,1866.563,25.211,1.3587,16809106,18651852500
2000/5/26,1879.617,1890.686,1860.919,1885.752,-1.087,-0.0578,20602522,19005423750
2000/5/29,1898.748,1900.674,1882.742,1885.546,19.131,1.0178,18029154,19215767500
2000/5/30,1877.471,1908.306,1868.61,1903.53,-21.277,-1.1206,16518999,17225868750
2000/5/31,1894.554,1894.583,1869.338,1875.463,17.083,0.9099,15760230,16569980000
2000/6/1,1903.488,1906.817,1889.995,1900.533,8.934,0.4716,14654595,15643985000
2000/6/2,1916.25,1916.25,1897.713,1906.162,12.762,0.6705,17840350,17800631250
2000/6/5,1899.092,1930.335,1889.815,1921.969,-17.158,-0.8954,29216146,22618255000
2000/6/6,1925.544,1925.552,1891.665,1898.591,26.452,1.3929,17120126,16628333750
2000/6/7,1935.031,1940.22,1921.383,1934.376,9.487,0.4927,15573925,16138943750
2000/6/8,1925.206,1938.554,1913.365,1937.195,-9.825,-0.5077,17086620,15829291250
2000/6/9,1900.787,1929.946,1896.061,1926.15,-24.419,-1.2684,15185524,14747110000
2000/6/12,1912.557,1912.589,1884.616,1896.428,11.77,0.6192,12039594,12715536250
2000/6/13,1938.674,1938.674,1917.19,1918.192,26.117,1.3656,14427663,14193640000
