CPI,NEER 
101.3,85.07
100.9,85.31
101.2,86.41
101.3,87.78
101.6,87.61
101.9,86.92
100.9,88.15
100.8,86.92
101.2,86.02
101.4,83.78
101.5,84.46
101,84.24
101.3,84.14
101.5,85.48
101.4,86.25
101.9,86.24
102.8,86.55
102.2,88.42
102.7,89.69
103.3,88.29
103,87.2
103.4,87.75
104.4,88.74
105.6,89.12
106.5,90.01
106.2,89.78
106.5,88.54
106.9,88.61
106.5,90.39
107.1,92.07
108.7,94.81
108.3,92.29
108.5,92.74
107.7,93.06
107.1,93.54
106.3,93.52
104.9,95.63
104.6,98.28
104,102.57
102.4,105.17
101.2,102.78
101,104.73
98.4,107.5
98.8,107.38
98.5,104.88
98.6,101.52
98.3,99.48
98.2,99.09
98.8,98.28
99.2,97.4
99.5,95.83
100.6,95.62
101.9,97.15
101.5,97.96
102.7,100.46
102.4,99.02
102.8,98.94
103.1,101.4
102.9,101.89
103.3,100.82
103.5,99.76
103.6,99.79
104.4,98.31
105.1,100.17
104.6,101.49
104.9,101.81
104.9,102.34
105.4,100.77
105.3,99.59
105.5,99.75
106.4,100.07
106.5,100.39
106.2,101.19
106.1,104.39
105.5,105.77
104.2,106.39
104.1,108.03
104.55,109.56
103.16,108.07
103.59,108.28
103.37,108.14
103,109
102.15,108.89
101.78,108.8
102.05,108.35
101.91,107.51
101.72,107.76
106.28,109.62
102.5,109.94
102,111.44
103.2,113.34
102.1,113.68
102.4,114.8
102.1,115.72
102.7,115.78
102.7,116.77
102.6,116.82
103.1,117.15
103.2,115.88
103,117.26
102.5,118.3
102.5,120.59
102,120.49
102.4,116.92
101.8,114.29
102.5,113.61
102.3,113.61
102.3,114.24
102,116.23
101.6,119.08
101.6,121.01
101.4,123.9
101.5,125.54
100.8,127.64
101.4,129.57
101.4,130.67
101.5,129.78
101.2,128.11
101.4,129
101.6,130.99
102,130.4
101.6,130.22
101.3,129.07
101.5,131.01
101.6,130.29
101.8,129.77
102.3,130.84
102.3,128.6
102.3,126.18
102,125.13
101.9,123.02
101.8,121.77
101.3,120.75
101.9,121.15
102.1,120.91
102.3,121.59
102.1,122.82
